Inst,citingDOI,CR,citedDOI,title,journal_book,date,issn1,issn1Type,issn2,issn2Type,isbn
UCLA,10.1002/2014TC003813,"___, 2001, ______, V20, P262",nan,nan,nan,nan,nan,nan,nan,nan,nan
UCLA,10.1007/s12665-011-1203-9,"___, 2007, [Journal of Korean Society on Water Environment, ________], V23, P309",nan,nan,[Journal of Korean Society on Water Environment,nan,nan,nan,nan,nan,nan
UCLA,10.1007/s12665-011-1203-9,"___, 2007, [Journal of Korean Society on Water Environment, ________], V23, P367",nan,nan,[Journal of Korean Society on Water Environment,nan,nan,nan,nan,nan,nan
Houston,10.1080/00206814.2016.1214087,"??, 2012, [????. ????, Scientia Sinica Terrae], V42, P1830",nan,nan,Scientia Sinica Terrae],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"???, 1997, ??, V23, P21",nan,nan,nan,nan,nan,nan,nan,nan,nan
Houston,10.1080/00206814.2016.1214087,"???, 2004, [????, Chinese science bulletin], V49, P1179",nan,nan,Chinese science bulletin],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/2015GL063753,"???, 2008, [Journal of the Korean Geographical Society, ???????], V43, P681",nan,nan,[Journal of the Korean Geographical Society,nan,nan,nan,nan,nan,nan
CUBoulder,10.1080/01431161.2018.1466075,"???, 2011, [????. ????, Scientia Sinica Terrae], V41, P1743",nan,nan,Scientia Sinica Terrae],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[__ Deng Qi], 2013, [____, Geological Bulletin of China], V32, P631",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.dsr.2014.10.002,"[__ Li Lei], 2002, [_____, Oceanolgia et Limnologia Sinica], V33, P393",nan,nan,Oceanolgia et Limnologia Sinica],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2018.12.015,"[__ Pei Lei], 2017, [____, Acta Geologica Sinica], V91, P1326",nan,nan,Acta Geologica Sinica],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2018.12.015,"[__ Peng Hu], 2014, [____, Geological Bulletin of China], V33, P1715",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[__ Shi Wei], 2007, [____, Acta Geologica Sinica], V81, P1314",nan,nan,Acta Geologica Sinica],nan,nan,nan,nan,nan,nan
UCLA,10.1002/joc.5350,"[__ Xu Ying], 2003, [____, Plateau Meteorology], V22, P451",nan,nan,Plateau Meteorology],nan,nan,nan,nan,nan,nan
UCLA,10.1111/arcm.12421,"[__ Zhang Kun], 2015, [____. ____, Scientia Sinica Technologica], V45, P635",nan,nan,Scientia Sinica Technologica],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[__ ZHANG Yan], 2009, [_______, Progress in Geophysiscs], V24, P1267",nan,nan,Progress in Geophysiscs],nan,nan,nan,nan,nan,nan
UCLA,10.1142/S1793431119400037,"[__ ZHOU Ying], 2011, [______, Journal of Building Structures], V32, P1",nan,nan,Journal of Building Structures],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2018.12.015,"[___ CHEN Nengsong], 2006, [____, Geological Bulletin of China], V25, P1311",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Dong Shuwen], 2006, [____, Acta Geoscientia Sinica], V27, P403",nan,nan,Acta Geoscientia Sinica],nan,nan,nan,nan,nan,nan
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"[___ Gan Weijun], 2005, [____, Seismology and Geology], V27, P177",nan,nan,Seismology and Geology],nan,nan,nan,nan,nan,nan
UCLA,10.1130/L640.1,"[___ Gong Jianghua], 2013, [_______, Acta Petrologica et Mineralogica], V32, P1",nan,nan,Acta Petrologica et Mineralogica],nan,nan,nan,nan,nan,nan
UCLA,10.1130/L640.1,"[___ Guo Kunyi], 2004, [____, Geological Bulletin of China], V23, P130",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"[___ Guo Shuxiang], 2003, [____, Geophysical Prospecting for Petroleum], V42, P97",nan,nan,Geophysical Prospecting for Petroleum],nan,nan,nan,nan,nan,nan
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"[___ He Guangming], 2006, [____, Geophysical Prospecting for Petroleum], V45, P88",nan,nan,Geophysical Prospecting for Petroleum],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Hu Jianmin], 2004, [____, Geological Review], V50, P323",nan,nan,Geological Review],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Hu Jianmin], 2009, [____, Earth Science Frontiers], V16, P49",nan,nan,Earth Science Frontiers],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ LI Jian-hua], 2009, [______, Journal of Geomechanics], V15, P162",nan,nan,Journal of Geomechanics],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Li Jianhua], 2010, [____, Scientia Geologica Sinica], V45, P969",nan,nan,Scientia Geologica Sinica],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Li Jianhua], 2012, [____, Geological Review], V58, P581",nan,nan,Geological Review],nan,nan,nan,nan,nan,nan
UCLA,10.5194/angeo-28-277-2010,"[___ Li Jianping], 2005, [_______, Climatic and environmental research], V10, P351",nan,nan,Climatic and environmental research],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2018.12.015,"[___ Li Jindong], 2004, [____, Geological Bulletin of China], V23, P670",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
