Author,Year,Title
___,2001,______
___,2007,[Journal of Korean Society on Water Environment
___,2007,[Journal of Korean Society on Water Environment
??,2012,Scientia Sinica Terrae]
???,1997,??
???,2008,[Journal of the Korean Geographical Society
???,2004,Chinese science bulletin]
???,2011,Scientia Sinica Terrae
[__ Deng Qi],2013,Geological Bulletin of China
[__ Li Lei],2002,Oceanolgia et Limnologia Sinica
[__ Pei Lei],2017,Acta Geologica Sinica
[__ Peng Hu],2014,Geological Bulletin of China
[__ Shi Wei],2007,Acta Geologica Sinica
[__ Xu Ying],2003,Plateau Meteorology
[__ Zhang Kun],2015,Scientia Sinica Technologica
[__ ZHANG Yan],2009,Progress in Geophysiscs
[__ ZHOU Ying],2011,Journal of Building Structures
[___ CHEN Nengsong],2006,Geological Bulletin of China
[___ Dong Shuwen],2006,Acta Geoscientia Sinica
[___ Gan Weijun],2005,Seismology and Geology
[___ Gong Jianghua],2013,Acta Petrologica et Mineralogica
[___ Guo Kunyi],2004,Geological Bulletin of China
[___ Guo Shuxiang],2003,Geophysical Prospecting for Petroleum
[___ He Guangming],2006,Geophysical Prospecting for Petroleum
[___ Hu Jianmin],2009,Earth Science Frontiers
[___ Hu Jianmin],2004,Geological Review
[___ LI Jian-hua],2009,Journal of Geomechanics
[___ Li Jianhua],2012,Geological Review
[___ Li Jianhua],2010,Scientia Geologica Sinica
[___ Li Jianping],2005,Climatic and environmental research
[___ Li Jindong],2004,Geological Bulletin of China
[___ Li Junli],2011,Journal of Remote Sensing
[___ LI Zhankui],2007,Geophysical and Geochemical Exploration
[___ Lin Boxiang],2006,Geophysical Prospecting for Petroleum
[___ Liu Guofeng],2010,Oil Geophysical Prospecting
[___ LIU Jianhong],2008,Progress in Geophysiscs
[___ Liu Zhifei],2005,Acta Sedimentologica Sinica
[___ Pei Xianchi],2005,Geological Bulletin of China
[___ PEI Xianzhi],2007,Acta Geologica Sinica
[___ Shi Rendeng],2004,Acta Geologica Sinica
[___ Wang Aiguo],2004,Journal of Stratigraphy
[___ Wang Guocan],2004,Earth science frontiers
[___ WANG Guocan],2007,Geological Bulletin of China
[___ Wang Qingliang],2002,Journal of Geodesy and Geodynamics
[___ WU Zhen-han],2009,Geology of China
[___ XIANG Zhenqun],2007,Geological Bulletin of China
[___ XU Xiwei],2007,Seismology and Geology
[___ Yang Zijiang],2006,Geological Bulletin of China
[___ Zhang Guowei],2004,Geological Bulletin of China
[___ Zhang Peizhen],2006,Quaternary Sciences
[___ Zhang Yueqiao],2010,Acta Geologica Sinica
[___ Zhang Yueqiao],2011,Geology of China
[___ Zou Xianwu],2011,Geology of China
[?? Bian Duo],2006,Journal of Applied Meteorolgical Science
[?? Che Tao],2004,Journal of Glaciology and Geocryology
[?? Cui Wei],2010,Journal of Glaciology and Geocryology
[?? Du Jun],2004,Acta Geographica Sinica
[?? Liu Jia],2013,Advance in Earth Sciences
[?? Wan Xin],2013,Journal of Glaciology and Geocryology
[?? WANG Jian],2007,Geological Bulletin of China
[?? Wei Hong],2004,Journal of Lanzhou University.Natural Science
[?? Yan Wei],2014,Progress in Geography
[?? Yang Yong],2013,Journal of Glaciology and Geocryology
[??? BAI Zhi-da],2009,Geological Bulletin of China
[??? CAI Di-hua],2009,Journal of Glaciology and Geocryology
[??? CAO Yungang],2007,Science & Technology Review
[??? Chen Guorong],2004,Geological Bulletin of China
[??? CHEN Rensheng],2010,Advance in Earth Sciences
[??? Chen Rensheng],2014,Advance in Earth Sciences
[??? Chen Yulu],2002,Journal of geomechanics
[??? Ding Yongjian],2013,Advance in Earth Sciences
[??? Gao Xuejie],2003,Plateau Meteorology
[??? HOU KeJun],2009,Mineral Deposits
[??? KANG Ersi],2008,Advance in Earth Sciences
[??? LIN Zhan-ju],2009,Journal of Glaciology and Geocryology
