citedDOI,journal_is_oa,is_oa,oa_status
10.1007/s10584-016-1750-x,FALSE,FALSE,closed
10.1175/MWR3123.1,FALSE,TRUE,hybrid
10.1002/2014JD022602,FALSE,TRUE,green
10.1175/JCLI-D-14-00623.1,FALSE,TRUE,hybrid
10.1029/2008GL035481,FALSE,TRUE,green
10.1175/MWR-D-13-00019.1,FALSE,TRUE,green
10.1175/BAMS-D-14-00031.1,FALSE,TRUE,hybrid
10.3390/w3020445,TRUE,TRUE,gold
10.1175/JHM-D-13-053.1,FALSE,TRUE,hybrid
10.1002/2016JD026240,FALSE,FALSE,closed
10.1002/2015RG000512,FALSE,TRUE,green
10.1175/JCLI-D-16-0758.1,FALSE,TRUE,hybrid
10.1038/271534a0,FALSE,FALSE,closed
10.1002/2015JD024257,FALSE,FALSE,closed
10.1002/2015GL067392,FALSE,TRUE,hybrid
10.1175/JCLI3990.1,FALSE,TRUE,hybrid
10.1175/JCLI-D-16-0386.1,FALSE,TRUE,hybrid
10.1175/BAMS-D-12-00121.1,FALSE,TRUE,green
10.1029/JD092iD12p14739,FALSE,FALSE,closed
10.1175/2009JCLI3333.1,FALSE,TRUE,green
10.1029/GL013i002p00121,FALSE,FALSE,closed
10.1088/1748-9326/8/3/034010,TRUE,TRUE,gold
10.1029/2012JD018027,FALSE,TRUE,green
10.1029/2011GL049783,FALSE,TRUE,green
10.1029/2011MS000045,TRUE,TRUE,gold
10.1029/JC084iC08p05029,FALSE,FALSE,closed
10.1175/MWR-D-11-00126.1,FALSE,TRUE,green
10.1175/2011JHM1358.1,FALSE,TRUE,hybrid
10.1029/92GL02916,FALSE,TRUE,green
10.1029/2002JD002262,FALSE,FALSE,closed
10.1175/JCLI-D-11-00582.1,FALSE,TRUE,hybrid
10.1002/2016MS000839,TRUE,TRUE,gold
10.1029/2006GL026689,FALSE,TRUE,green
10.1175/1520-0493(2004)132<1721:SACAOO>2.0.CO;2,FALSE,TRUE,green
10.1175/JHM-D-14-0103.1,FALSE,TRUE,green
10.1002/wrcr.20312,FALSE,TRUE,green
10.1002/2016GL070470,FALSE,TRUE,hybrid
10.1002/2016GL069796,FALSE,TRUE,hybrid
10.1175/2009MWR2939.1,FALSE,TRUE,green
10.1175/MWR-D-12-00256.1,FALSE,TRUE,green
10.1002/2015JD023234,FALSE,FALSE,closed
10.1029/2007JD009006,FALSE,TRUE,green
10.1023/A:1005319109110,FALSE,FALSE,closed
10.1175/2010JHM1284.1,FALSE,TRUE,hybrid
10.1175/JHM-D-14-0080.1,FALSE,TRUE,hybrid
10.1002/2016MS000842,TRUE,TRUE,gold
10.1175/1520-0493(1998)126<0725:APAFMF>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/JHM-D-15-0089.1,FALSE,FALSE,closed
10.1175/MWR-D-10-05013.1,FALSE,TRUE,hybrid
10.1002/2014JD021478,FALSE,FALSE,closed
10.1175/JAS-D-13-0163.1,FALSE,TRUE,green
10.1007/s00382-012-1508-8,FALSE,FALSE,closed
10.1127/metz/2015/0598,TRUE,TRUE,gold
10.1007/s00382-016-3012-z,FALSE,TRUE,hybrid
10.1175/MWR-D-11-00046.1,FALSE,TRUE,green
10.1007/s00382-012-1568-9,FALSE,FALSE,closed
10.1002/joc.2158,FALSE,FALSE,closed
10.1175/MWR-D-13-00318.1,FALSE,TRUE,green
10.1175/2009WAF2222222.1,FALSE,TRUE,green
10.1002/qj.828,FALSE,TRUE,green
10.1029/2000JD900445,FALSE,FALSE,closed
10.1175/2011JCLI3955.1,FALSE,TRUE,green
10.1175/1520-0469(1989)046<3077:NSOCOD>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0469(1995)052<0838:LTROOT>2.0.CO;2,FALSE,TRUE,hybrid
10.1007/s00382-014-2242-1,FALSE,TRUE,hybrid
10.1127/0941-2948/2006/0154,FALSE,FALSE,closed
10.5194/acp-14-5233-2014,TRUE,TRUE,gold
10.1175/JCLI-D-16-0082.1,FALSE,TRUE,green
10.1127/0941-2948/2008/0303,FALSE,FALSE,closed
10.1175/MWR3199.1,FALSE,TRUE,green
10.1007/s10113-013-0499-2,FALSE,TRUE,hybrid
10.1175/2008WAF2007106.1,FALSE,TRUE,green
10.1175/JCLI-D-11-00562.1,FALSE,TRUE,green
10.1007/s00382-016-3237-x,FALSE,TRUE,hybrid
10.1073/pnas.0608144104,FALSE,TRUE,bronze
10.5194/gmd-7-1297-2014,TRUE,TRUE,gold
10.1016/j.jhydrol.2011.03.024,FALSE,FALSE,closed
10.1016/j.jhydrol.2005.03.033,FALSE,FALSE,closed
10.2151/jmsj.82.67,FALSE,TRUE,bronze
10.1023/A:1019207923078,FALSE,FALSE,closed
10.1175/JAS-D-11-0252.1,FALSE,TRUE,hybrid
10.1002/2016JD026013,FALSE,FALSE,closed
10.1175/MWR-D-16-0211.1,FALSE,TRUE,hybrid
10.1175/1520-0477(2002)083<0407:DIHRPM>2.3.CO;2,FALSE,TRUE,hybrid
10.1007/s00382-016-3358-2,FALSE,TRUE,hybrid
10.1029/97JD00237,FALSE,TRUE,green
10.1007/s00382-013-1744-6,FALSE,TRUE,hybrid
10.1002/2014RG000475,FALSE,TRUE,hybrid
10.1175/JCLI-D-12-00727.1,FALSE,TRUE,green
10.1127/0941-2948/2013/0436,FALSE,FALSE,closed
10.1002/met.57,FALSE,TRUE,green
10.1175/2007MWR2123.1,FALSE,TRUE,green
10.1007/s00382-007-0280-7,FALSE,FALSE,closed
10.1175/JAS-D-12-0290.1,FALSE,TRUE,hybrid
10.5065/D68S4MVH,not_in_unpaywall,not_in_unpaywall,not_in_unpaywall
10.1002/2015JD024727,FALSE,TRUE,hybrid
10.1029/2007JD009127,FALSE,FALSE,closed
10.1175/BAMS-D-11-00094.1,FALSE,TRUE,bronze
10.1175/MWR-D-11-00117.1,FALSE,TRUE,green
10.1175/1520-0450(1999)038<1214:IOVPOR>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0493(2000)128<3664:ASNTFD>2.0.CO;2,FALSE,TRUE,green
10.5194/hess-16-4101-2012,TRUE,TRUE,gold
10.1175/1520-0493(1997)125<0527:TRDOEM>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/2007WAF2007005.1,FALSE,TRUE,green
10.1175/2008MWR2415.1,FALSE,TRUE,green
10.1175/2010MWR3380.1,FALSE,TRUE,hybrid
10.1175/1520-0469(2004)061<1816:TNMITT>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/JAS-D-13-0356.1,FALSE,TRUE,hybrid
10.1175/1520-0477(2000)081<2621:ANDOHA>2.3.CO;2,FALSE,TRUE,hybrid
10.1038/nature02599,FALSE,TRUE,bronze
10.2307/1550288,FALSE,FALSE,closed
10.13679/j.advps.2016.1.00001,not_in_unpaywall,not_in_unpaywall,not_in_unpaywall
10.1111/gere.12227,FALSE,FALSE,closed
10.1029/2000JD900551,FALSE,FALSE,closed
10.1029/1998JD200017,FALSE,TRUE,green
10.14430/ARCTIC3901,FALSE,FALSE,closed
10.1057/9780230114654,FALSE,FALSE,closed
10.14358/PERS.70.5.605,FALSE,TRUE,green
10.1029/JC094iC04p04971,FALSE,FALSE,closed
10.1175/1520-0442-12.1.46,FALSE,TRUE,green
10.1029/2001JD900042,FALSE,FALSE,closed
10.3189/S0022143000001799,FALSE,TRUE,bronze
10.1175/BAMS-87-12-1685,FALSE,TRUE,hybrid
10.1029/2003JC001982,FALSE,TRUE,green
10.3189/2015JoG15J017,TRUE,TRUE,gold
10.1103/PhysRevLett.52.2352,FALSE,TRUE,green
10.1016/j.asr.2007.03.078,FALSE,FALSE,closed
10.1002/qj.637,FALSE,FALSE,closed
10.1080/14685248.2012.702909,FALSE,FALSE,closed
10.1017/S0954102092000373,FALSE,FALSE,closed
10.1023/A:1022171009297,FALSE,FALSE,closed
10.1175/1525-7541(2002)003<0417:PSTOSA>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0450(1990)029<0224:EOATCS>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0450(1993)032<1901:VHFMFA>2.0.CO;2,FALSE,FALSE,closed
10.1175/1520-0469(1970)027<0903:TBOAMT>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/JAS3905.1,FALSE,TRUE,green
10.1175/2010BAMS2797.1,FALSE,TRUE,green
10.1175/1520-0493(1980)108<0804:GWFT>2.0.CO;2,FALSE,TRUE,bronze
10.1023/A:1000812511429,FALSE,FALSE,closed
10.2478/s11600-007-0045-z,FALSE,FALSE,closed
10.1002/9783527653218.ch2,FALSE,FALSE,closed
